case_id,case_name,working_title,jurisdiction,incident_date,release_date,evidence_available,has_bodycam,has_interrogation,has_911_audio,has_court_records,has_sentencing_or_outcome,poison_five_plus_over_500k,poison_covered_by_major_creator,poison_name_famous,poison_heavily_clipped,poison_no_new_update,poison_heavily_politicized,poison_needs_psych_claims,poison_poor_footage,poison_signal_count,verified_at,search_queries,videos_reviewed,videos_over_500k,top_video_views,top_video_url,major_creator_matches,data_source,verdict,notes
P001,Chris Watts,The Family Annihilation Already Owned by YouTube,Weld County CO,2018-08-13,2018-08,interrogation+bodycam+court,yes,yes,partial,yes,yes,true,true,true,true,true,false,false,false,5,,,,,,,,unknown,avoid,POISON: 5+ major YT breakdowns; major creators; name-famous; heavily clipped; no new update.
P002,Sarah Boone,The Suitcase Case Court Circuit,Orange County FL,2020-02-23,2022-2024,interrogation+jail calls+trial,partial,yes,no,yes,yes,true,true,true,true,false,false,false,false,4,,,,,,,,unknown,avoid,POISON: saturated court/interrogation creators; name-famous; heavily clipped.
P003,Darrell Brooks,The Parade Trial Already Claimed,Waukesha WI,2021-11-21,2022-2023,trial+dashcam+court,partial,no,partial,yes,yes,true,true,true,true,false,true,false,false,5,,,,,,,,unknown,avoid,POISON: over-mined courtroom case; politicized; major creators own the lane.
P004,Sherri Papini,The Fake Abduction Documentary Stack,Shasta County CA,2016-11-02,2022,court+docs+news,no,partial,no,yes,yes,false,true,true,false,true,false,false,false,3,,,,,,,,unknown,avoid,POISON: name-famous; documentary-heavy; no fresh bodycam spine.
P005,Chandler Halderson,The Disappearance That Became an Interrogation Staple,Dane County WI,2021-07,2021-2022,interrogation+search+court,partial,yes,no,yes,yes,true,true,true,true,false,false,false,false,4,,,,,,,,unknown,avoid,POISON: interrogation coverage already definitive.
P006,Jodi Arias,Legacy Trial Search Trap,Maricopa County AZ,2008-06-04,2013,trial+interrogation,no,yes,no,yes,yes,true,true,true,true,true,false,false,false,5,,,,,,,,unknown,avoid,POISON: legacy searchable/stale; high competition.
P007,Casey Anthony,Legacy Trial Search Trap,Orange County FL,2008,2011,trial+media,no,partial,no,yes,yes,true,true,true,true,true,false,false,false,5,,,,,,,,unknown,avoid,POISON: legacy true-crime gravity well.
P008,Scott Peterson,Legacy Trial Search Trap,Stanislaus County CA,2002-12,2004,trial+docs,no,partial,no,yes,yes,false,true,true,false,true,false,false,false,3,,,,,,,,unknown,avoid,POISON: Peterson-type legacy; no bodycam production fit.
P009,Ruby Franke / Jodi Hildebrandt,YouTube Family Abuse Already Exhaustively Packaged,Washington County UT,2023-08,2023-2024,police interview+court+docs,partial,yes,no,yes,yes,true,true,true,true,false,true,false,false,5,,,,,,,,unknown,avoid,POISON: high demand but saturated + emotionally/politically charged.
P010,George Floyd / Derek Chauvin,Politically Radioactive Launch Killer,Hennepin County MN,2020-05-25,2020-2021,bystander+bodycam+trial,yes,no,partial,yes,yes,true,true,true,true,true,true,false,false,6,,,,,,,,unknown,avoid,POISON: too politically radioactive for channel launch.
P011,Gabby Petito / Brian Laundrie,Missing Person Media Event Already Closed,Teton County WY / FL,2021-08,2021-2022,bodycam+docs+media,yes,partial,no,yes,yes,true,true,true,true,true,false,false,false,5,,,,,,,,unknown,avoid,POISON: saturated; little fresh bodycam angle left.
P012,Karen Read,Factional Trial Still Eating the Internet,Norfolk County MA,2022-01-29,2024-2025,trial+docs+partial video,partial,no,partial,yes,partial,true,true,true,true,false,true,false,false,5,,,,,,,,unknown,avoid,POISON: active interest but factional and legally messy.
P013,Justin Timberlake DWI,Celebrity DWI Bodycam Curiosity Trap,Sag Harbor NY,2024-06-18,2026-03,bodycam+plea,yes,no,no,yes,yes,false,false,true,true,true,false,false,false,3,,,,,,,,unknown,avoid,POISON: name-driven celebrity; novelty already spent.
P014,Jay Cutler DUI,Celebrity DUI Bodycam Curiosity Trap,Franklin TN,2024,2025-10,bodycam+charges,yes,no,no,yes,partial,false,false,true,true,false,false,false,false,2,,,,,,,,unknown,avoid,POISON: name-driven; fails packaging without the celebrity.
P015,Tyler Barriss fatal swatting,Famous Swatting Case Already Told as Consequence Story,Wichita KS / Los Angeles CA,2017-12-28,2019,911 audio+court+sentence,partial,no,yes,yes,yes,false,true,true,false,true,false,false,false,3,,,,,,,,unknown,avoid,POISON: historically strong consequence story; not a fresh launch pick.
P016,Mackenzie McLean teacher arrest,Teacher Arrest Bodycam With Wrong Launch Risk Profile,Seminole County FL,2026-02-17,2026-03-02,bodycam+affidavit+court,yes,no,no,yes,partial,false,false,false,false,true,false,true,false,2,,,,,,,,unknown,avoid,POISON: sex-offense/student framing requires psych/speculation risk; incomplete sentencing aftermath.
P017,Hayden Kilbourne KSP force case,Trooper Sentenced After Chase — Saturation Climbing,Carroll County KY,2023-07-28,2026-03-19,bodycam+plea+sentence+agency release,yes,no,no,yes,yes,false,true,false,true,false,false,false,false,2,,,,,,,,unknown,avoid,POISON: strong evidence package but creator coverage climbing; heavily clipped.
