source_id,case,url,video_id,title,channel,upload_date,duration,views,format,narrative_coverage,covers_2025_2026_outcome,result_query,observed_at
SOL-Y01,Solano,https://www.youtube.com/watch?v=9rFwYkl5BZQ,9rFwYkl5BZQ,AXON Body Video 2020_08_06_2114hrs,Solano Sheriff PIO,2021-08-23,18:47,15032,agency-published bodycam,McCampbell bodycam; encounter and aftermath; no added narration,no,Nakia Porter Solano County bodycam,2026-09-14
SOL-Y02,Solano,https://www.youtube.com/watch?v=0Yb_EMkSeyQ,0Yb_EMkSeyQ,In-car video 2020_08_06,Solano Sheriff PIO,2021-08-23,43:01,7230,agency-published dashcam,In-car angle; does not clearly show core ground struggle,no,Nakia Porter Solano County bodycam,2026-09-14
SOL-Y03,Solano,https://www.youtube.com/watch?v=PDOI0YVR56w,PDOI0YVR56w,"Full, unedited video of Nakia Porter's arrest by Solano County Sheriff's Deputies",Solano NewsNet,2021-08-26,43:00,8481,republication/compiled footage,Long-form agency-footage republication; labels release unedited,no,"""Nakia Porter""",2026-09-14
SOL-Y04,Solano,https://www.youtube.com/watch?v=lPPTZWXZjqE,lPPTZWXZjqE,"Solano Sheriff's Deputy Dalton McCampbell body cam video of arrest of Nakia Porter on Aug. 6, 2020",Scott Morris,2021-08-24,18:47,2361,republication/bodycam,McCampbell angle and case-description text,no,"""Nakia Porter""",2026-09-14
SOL-Y05,Solano,https://www.youtube.com/watch?v=XTHDqOXKOmI,XTHDqOXKOmI,BodyCam: Solano Sheriff's Deputy Dalton McCampbell Arrest of Nakia Porter,American Police's Cam,2021-08-25,18:47,958,republication/bodycam,McCampbell angle and case-description text,no,"""Nakia Porter""",2026-09-14
SOL-Y06,Solano,https://www.youtube.com/watch?v=LwMmHX1wnME,LwMmHX1wnME,Woman goes unconscious after Solano County sheriff deputies pull her over for mismatched license plates,KTVU FOX 2 San Francisco,2021-08-19,9:52,6456,edited news/bodycam,Edited incident narrative and attorney-provided bodycam,no,Nakia Porter Solano County bodycam,2026-09-14
SOL-Y07,Solano,https://www.youtube.com/watch?v=pZ_zHDsPMD8,pZ_zHDsPMD8,Solano County sheriff releases new video from traffic stop that led to federal lawsuit,KTVU FOX 2 San Francisco,2021-08-25,2:32,7207,news package,Agency release and lawsuit overview,no,Nakia Porter Solano County bodycam,2026-09-14
SOL-Y08,Solano,https://www.youtube.com/watch?v=9JbYReJwcZg,9JbYReJwcZg,Justice for Nakia Porter | Late News Tonight,ABC10,2021-09-16,2:36,16739,news package,Incident aftermath and advocacy,no,"""Nakia Porter""",2026-09-14
SOL-Y09,Solano,https://www.youtube.com/watch?v=jGx9R7Yktp8,jGx9R7Yktp8,Family files lawsuit against Solano County Sheriff's Office,KRON 4,2021-08-20,3:24,21026,news package,Lawsuit filing and incident narrative,no,"""Nakia Porter""",2026-09-14
SOL-Y10,Solano,https://www.youtube.com/watch?v=F_uigkAY8rw,F_uigkAY8rw,Solano County Sheriff’s Office Sued Over Woman's Violent Arrest,CBS News Sacramento,2021-08-19,0:42,3665,news clip,Lawsuit filing summary,no,"""Nakia Porter""",2026-09-14
SOL-Y11,Solano,https://www.youtube.com/watch?v=Uxj9o4akC5U,Uxj9o4akC5U,Sgt. Roy Stockton discusses arrest of Nakia Porter with deputies Dalton McCampbell and Lisa McDowell,The Vallejo Sun,2022-02-06,1:22,812,evidentiary clip,Supervisor/deputy post-incident discussion; notes McDowell camera issue,no,"""Nakia Porter""",2026-09-14
SOL-Y12,Solano,https://www.youtube.com/watch?v=ETkc2t33hu4,ETkc2t33hu4,Sgt. Roy Stockton discusses arrest of Nakia Porter with deputies Dalton McCampbell and Lisa McDowell,Scott Morris,2021-08-24,1:22,3628,evidentiary clip/republication,Same post-incident discussion sequence,no,Nakia Porter Solano bodycam,2026-09-14
