source_id,case,title,publisher,date,classification,evidentiary_treatment,url,notes
BET-P01,Bethel,Alaska Department of Law conviction release,Alaska Department of Law,2026-02-17,primary,government/agency record,https://law.alaska.gov/press/releases/2026/021726-Murphy.html,Official conviction announcement and prosecution account; not charging document or judgment.
BET-P02,Bethel,City police-records request instructions,City of Bethel,accessed 2026-09-14,primary,government/agency record,https://www.cityofbethel.org/240/Public-Request-for-Information,"Official request routing, fee acknowledgement, non-litigation certification."
BET-P03,Bethel,Police Department Public Records Request form,City of Bethel,accessed 2026-09-14,primary,government/agency record,https://cityofbethel-services.app.transform.civicplus.com/forms/41702,Submission endpoint for Bethel police records.
BET-P04,Bethel,City Clerk/public-records instructions,City of Bethel,accessed 2026-09-14,primary,government/agency record,https://cityofbethel.org/239/Public-Records-Requests,Direct requests to department holding records; City Clerk fallback.
BET-P05,Bethel,Bethel Police Department contact,City of Bethel,accessed 2026-09-14,primary,government/agency record,https://cityofbethel.org/195/Police,police@cityofbethel.net; 907-543-3781.
BET-P06,Bethel,Alaska Public Records Act guidance,Alaska Department of Law,accessed 2026-09-14,primary,government/agency record,https://law.alaska.gov/doclibrary/APRA.html,Initial response guidance and fee rules; state guidance may not bind municipal timetable identically.
BET-P07,Bethel,AS 40.25.120 public-record exceptions,Alaska Legislature,accessed 2026-09-14,primary,government/legislative record,https://www.akleg.gov/basis/get_documents.asp?docid=3537&session=27,Disclosure statute and exceptions.
BET-P08,Bethel,Alaska Court System trial-court records search,Alaska Court System,accessed 2026-09-14,primary,government/court index,https://records.courts.alaska.gov/eaccess/home.page.2,Search endpoint; exact Murphy/Mael dockets not acquired in this pass.
BET-S01,Bethel,Former Bethel officers and City named in civil suit,KYUK Public Media,2024-12-11,secondary,news reporting,https://www.kyuk.org/public-safety/2024-12-11/former-bethel-police-officers-city-of-bethel-named-in-civil-suit-for-alleged-assault-of-man-in-2023,Reports complaint allegations and footage obtained via records request.
BET-S02,Bethel,Former officer charged during traffic stop,Alaska Public Media,2024-08-20,secondary,news reporting,https://alaskapublic.org/news/2024-08-20/former-bethel-police-officer-charged-with-assaulting-suspect-during-traffic-stop,Reports charging-document contents and three-camera statement.
BET-S03,Bethel,City reaches $10M settlement in pair of suits,KYUK Public Media,2025-12-27,secondary,news reporting,https://www.kyuk.org/public-safety/2025-12-27/city-of-bethel-reaches-10m-settlement-in-pair-of-police-brutality-suits,Reports $7M Mael and $3M Kerr as separate incidents.
BET-S04,Bethel,Jury convicts former Bethel officer,KYUK Public Media,2026-02-14,secondary,news reporting,https://www.kyuk.org/public-safety/2026-02-14/jury-convicts-former-bethel-police-officer-of-assault-falsifying-information-and-tampering-with-records,Trial-outcome reporting.
BET-S05,Bethel,Judge sentences former Bethel officer,KYUK Public Media,2026-02-26,secondary,news reporting,https://www.kyuk.org/public-safety/2026-02-26/state-sentences-former-bethel-police-officer-to-community-service-and-electronic-monitoring,"Reports 100 days confinement, 150 hours community service and SIS."
BET-S06,Bethel,KYUK media-sharing policy,KYUK Public Media,accessed 2026-09-14,secondary,publisher policy,https://www.kyuk.org/media-sharing-policy,General sharing/credit policy; not a case-specific license.
BET-S07,Bethel,KYUK contacts,KYUK Public Media,accessed 2026-09-14,secondary,publisher contact page,https://www.kyuk.org/contact-us-0,"news@kyuk.org, office@kyuk.org and named contacts."
SOL-A01,Solano,Initial civil-rights complaint,Plaintiffs in Porter v. Solano,2021-08-18,allegations,complaint/plaintiff allegations,https://s3.amazonaws.com/jnswire/jns-media/60/68/11594975/ncportervsolano.pdf,Filed pleading; allegations are not findings.
SOL-A02,Solano,"Fourth amended complaint, ECF 144",Plaintiffs in Porter v. County of Solano,2024-08-14,allegations,complaint/plaintiff allegations,https://atlantablackstar.com/wp-content/uploads/2025/10/Porter-et-al-vs.-County-of-Solano-et-al_4th-Am-Complaint.pdf,Operative complaint copy; allegations are not findings.
SOL-P01,Solano,"Summary-judgment order, ECF 199","U.S. District Court, E.D. California",2025-02-25,primary,court record (mirror),https://atlantablackstar.com/wp-content/uploads/2025/10/Porter-et-al-vs-Solano-Co.-et-al_Order_2.26.25.pdf,Court findings and rulings; grants/denies claims in part.
SOL-P02,Solano,"Dismissal order, ECF 51","U.S. District Court, E.D. California",2022-12-21,primary,court record,https://www.govinfo.gov/content/pkg/USCOURTS-caed-2_21-cv-01473/pdf/USCOURTS-caed-2_21-cv-01473-5.pdf,Official govinfo copy.
SOL-P03,Solano,Minor-compromise settlement approval order,"U.S. District Court, E.D. California",2025-09-02,primary,court record rendering,https://exa.ai/library/legal/opinion/d4ty9zl8xv3ph6zmqv8czkdz,Confirms total $17M settlement and $1.7M gross for minors; not executed agreement.
SOL-P04,Solano,Case docket index,PacerMonitor,accessed 2026-09-14,secondary,third-party court docket mirror/index,https://www.pacermonitor.com/public/case/41454225/Porter_et_al_v_Solano_County_Sheriffs_Office_et_al,Docket 2:21-cv-01473-KJM-JDP; secondary host displaying court entries.
SOL-P05,Solano,Sheriff press-release archive,Solano County Sheriff-Coroner,accessed 2026-09-14,primary,government/agency record,https://www.solanocounty.gov/government/sheriff-coroner/public-information/sheriffs-office-press-releases,"Official archive lists Aug. 6, 2020 item."
SOL-P06,Solano,Sheriff public-records request page,Solano County Sheriff-Coroner,accessed 2026-09-14,primary,government/agency record,https://www.solanocounty.gov/government/sheriff-coroner/sheriff-services/public-records-request,Official GovQA request routing.
SOL-P07,Solano,Records and Warrants Bureau,Solano County Sheriff-Coroner,accessed 2026-09-14,primary,government/agency record,https://www.solanocounty.gov/government/sheriff-coroner/sheriff-services/records-warrants-bureau,SHFRecords@SolanoCounty.gov; 707-784-7010.
SOL-P08,Solano,California Government Code §7923.625,California Legislature,accessed 2026-09-14,primary,government/legislative record,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=7923.625.,Critical-incident recording disclosure/redaction rules.
SOL-S01,Solano,Sheriff releases traffic-stop videos,CBS News Bay Area,2021-08-24,secondary,news reporting,https://www.cbsnews.com/sanfrancisco/news/solano-county-sheriff-releases-videos-of-traffic-stop-that-triggered-federal-lawsuit/,Embeds official bodycam and in-car uploads.
SOL-S02,Solano,Sheriff releases new video,KTVU FOX 2,2021-08-23,secondary,news reporting,https://www.ktvu.com/news/solano-county-sheriff-releases-new-video-from-traffic-stop-that-led-to-federal-lawsuit,Calls agency release full/unedited; describes limitations.
SOL-S03,Solano,Federal lawsuit reporting,KQED,2021-08-19,secondary,news reporting,https://www.kqed.org/news/11885664/federal-lawsuit-solano-county-sheriffs-knocked-woman-unconscious-then-lied-about-it,Separates visible footage from complaint allegations.
SOL-S04,Solano,Sheriff release may omit footage,Vallejo Sun,2021-08-24,secondary,news reporting,https://www.vallejosun.com/solano-sheriff-defends-deputies-accused-of-beating-black-woman-unconscious-for-no-reason/,Reports McDowell footage missing and agency account.
SOL-S05,Solano,$17M settlement report,Associated Press,2025-09-29,secondary,news reporting,https://apnews.com/article/excessive-force-settlement-california-police-64deb86af764162a7583c279bddfca9b,Settlement reporting; defendants disputed claims.
YT-EXP-01,Both,Raw YouTube saturation search export,yt-dlp/YouTube search,2026-09-14,primary,actual result export,./youtube_saturation_raw.json,66 raw result rows across six recorded queries; includes irrelevant results before manual relevance review.
SOL-Y01,Solano,AXON Body Video 2020_08_06_2114hrs,Solano Sheriff PIO,2021-08-23,primary,agency-published footage,https://www.youtube.com/watch?v=9rFwYkl5BZQ,18:47; 15032 views observed 2026-09-14; outcome coverage=no.
SOL-Y02,Solano,In-car video 2020_08_06,Solano Sheriff PIO,2021-08-23,primary,agency-published footage,https://www.youtube.com/watch?v=0Yb_EMkSeyQ,43:01; 7230 views observed 2026-09-14; outcome coverage=no.
SOL-Y03,Solano,"Full, unedited video of Nakia Porter's arrest by Solano County Sheriff's Deputies",Solano NewsNet,2021-08-26,secondary,republication/compiled footage,https://www.youtube.com/watch?v=PDOI0YVR56w,43:00; 8481 views observed 2026-09-14; outcome coverage=no.
SOL-Y04,Solano,"Solano Sheriff's Deputy Dalton McCampbell body cam video of arrest of Nakia Porter on Aug. 6, 2020",Scott Morris,2021-08-24,secondary,republication/bodycam,https://www.youtube.com/watch?v=lPPTZWXZjqE,18:47; 2361 views observed 2026-09-14; outcome coverage=no.
SOL-Y05,Solano,BodyCam: Solano Sheriff's Deputy Dalton McCampbell Arrest of Nakia Porter,American Police's Cam,2021-08-25,secondary,republication/bodycam,https://www.youtube.com/watch?v=XTHDqOXKOmI,18:47; 958 views observed 2026-09-14; outcome coverage=no.
SOL-Y06,Solano,Woman goes unconscious after Solano County sheriff deputies pull her over for mismatched license plates,KTVU FOX 2 San Francisco,2021-08-19,secondary,edited news/bodycam,https://www.youtube.com/watch?v=LwMmHX1wnME,9:52; 6456 views observed 2026-09-14; outcome coverage=no.
SOL-Y07,Solano,Solano County sheriff releases new video from traffic stop that led to federal lawsuit,KTVU FOX 2 San Francisco,2021-08-25,secondary,news package,https://www.youtube.com/watch?v=pZ_zHDsPMD8,2:32; 7207 views observed 2026-09-14; outcome coverage=no.
SOL-Y08,Solano,Justice for Nakia Porter | Late News Tonight,ABC10,2021-09-16,secondary,news package,https://www.youtube.com/watch?v=9JbYReJwcZg,2:36; 16739 views observed 2026-09-14; outcome coverage=no.
SOL-Y09,Solano,Family files lawsuit against Solano County Sheriff's Office,KRON 4,2021-08-20,secondary,news package,https://www.youtube.com/watch?v=jGx9R7Yktp8,3:24; 21026 views observed 2026-09-14; outcome coverage=no.
SOL-Y10,Solano,Solano County Sheriff’s Office Sued Over Woman's Violent Arrest,CBS News Sacramento,2021-08-19,secondary,news clip,https://www.youtube.com/watch?v=F_uigkAY8rw,0:42; 3665 views observed 2026-09-14; outcome coverage=no.
SOL-Y11,Solano,Sgt. Roy Stockton discusses arrest of Nakia Porter with deputies Dalton McCampbell and Lisa McDowell,The Vallejo Sun,2022-02-06,secondary,evidentiary clip,https://www.youtube.com/watch?v=Uxj9o4akC5U,1:22; 812 views observed 2026-09-14; outcome coverage=no.
SOL-Y12,Solano,Sgt. Roy Stockton discusses arrest of Nakia Porter with deputies Dalton McCampbell and Lisa McDowell,Scott Morris,2021-08-24,secondary,evidentiary clip/republication,https://www.youtube.com/watch?v=ETkc2t33hu4,1:22; 3628 views observed 2026-09-14; outcome coverage=no.
SOL-Y13,Solano,‘I think she’s out’ | Solano County deputy says after violent arrest,ABC10,2021-08-19,secondary,news package,https://www.youtube.com/watch?v=7wxE2p1wZM8,2:11; 22353 views observed 2026-09-14; outcome coverage=no.
SOL-Y14,Solano,Solano County Sheriff’s Office responds after accusations of violent arrest and more | Aug. 23 2021,ABC10,2021-08-24,secondary,news package,https://www.youtube.com/watch?v=fKToiIy8P6I,2:16; 3045 views observed 2026-09-14; outcome coverage=no.
SOL-Y15,Solano,Solano County Sheriff's Office Releases Video Of Violent Arrest,CBS News Sacramento,2021-08-24,secondary,news clip,https://www.youtube.com/watch?v=aubx8COb3lA,0:39; 1992 views observed 2026-09-14; outcome coverage=no.
SOL-Y16,Solano,Everyday Injustice Podcast Episode 135: Nakia Porter Beaten By Solano County Sheriff Deputies,Vanguard News Group,2021-12-21,secondary,podcast/interview,https://www.youtube.com/watch?v=IIV0Vyou1UE,53:04; 1683 views observed 2026-09-14; outcome coverage=no.
SOL-Y17,Solano,Police officer Reacts to Nakia Porter Arrest!,True Crime with Strategic Eyes,2021-08-20,secondary,reaction/commentary,https://www.youtube.com/watch?v=zTPDrpZvI3w,1:35:29; 1094 views observed 2026-09-14; outcome coverage=no.
SOL-Y18,Solano,Nakia Porter beaten like a man by officers. Lawsuit in progress.,Christian News and Interviews,2021-08-22,secondary,commentary,https://www.youtube.com/watch?v=qYsBzUSIb2g,5:50; 294 views observed 2026-09-14; outcome coverage=no.
SOL-Y19,Solano,California Cops Claimed She “Resisted” — Watch What Really Happened — Gets $17 Million Settlement,Don Andre Investigations,2025-11-17,secondary,commentary/documentary,https://www.youtube.com/watch?v=Q7TEFAoX4Cc,33:21; 435478 views observed 2026-09-14; outcome coverage=yes.
SOL-Y20,Solano,Solano County settles violent arrest case for $17 million,KCRA 3,2025-09-30,secondary,news clip,https://www.youtube.com/watch?v=LLbNhYNzdDg,0:58; 3376 views observed 2026-09-14; outcome coverage=yes.
SOL-Y21,Solano,$17M settlement to woman knocked out over mismatched plates,KTVU FOX 2 San Francisco,2025-09-30,secondary,news package,https://www.youtube.com/watch?v=4Nvb7f0e3AE,5:29; 11825 views observed 2026-09-14; outcome coverage=yes.
